id,store_id,display_name,store,latitude,longitude,address,city,state,zip,icon
96032,4405,"Aurora Supercenter",walmart,41.81566,-88.283176,"2900 Kirk Rd",Aurora,IL,60502,walmart-icon.png
96035,4286,"Montgomery Supercenter",walmart,41.720324,-88.372495,"2000 Orchard Rd",Montgomery,IL,60538,walmart-icon.png
96044,5352,"Batavia Supercenter",walmart,41.8636679,-88.345774,"801 North Randall Road",Batavia,IL,60510,walmart-icon.png
96046,1898,"Saint Charles Supercenter",walmart,41.9237,-88.2607,"150 Smith Rd","Saint Charles",IL,60174,walmart-icon.png
96052,1420,"Streamwood Supercenter",walmart,42.015255,-88.1481438,"850 S Barrington Rd",Streamwood,IL,60107,walmart-icon.png
96055,2815,"Rolling Meadows Store",walmart,42.053598,-88.000247,"1460 Golf Rd","Rolling Meadows",IL,60008,walmart-icon.png
96058,844,"Morris Supercenter",walmart,41.384538,-88.417167,"333 E Us Route 6",Morris,IL,60450,walmart-icon.png
96059,1003,"Plano Supercenter",walmart,41.652891,-88.563421,"6800 W Us Highway 34",Plano,IL,60545,walmart-icon.png
96111,786,"Dekalb Supercenter",walmart,41.949345,-88.72142,"2300 Sycamore Rd",Dekalb,IL,60115,walmart-icon.png
96112,933,"Rochelle Supercenter",walmart,41.937176,-89.051617,"311 E Route 38",Rochelle,IL,61068,walmart-icon.png
96116,1814,"Elgin Supercenter",walmart,42.003553,-88.339659,"1100 S Randall Rd",Elgin,IL,60123,walmart-icon.png
96118,3597,"Belvidere Supercenter",walmart,42.238256,-88.817278,"2101 Gateway Center Dr",Belvidere,IL,61008,walmart-icon.png
96119,4641,"Huntley Supercenter",walmart,42.151522,-88.428895,"12300 Route 47",Huntley,IL,60142,walmart-icon.png
96122,1490,"Rockford Supercenter",walmart,42.266166,-88.973392,"7219 Walton St",Rockford,IL,61108,walmart-icon.png
96123,5060,"Algonquin Supercenter",walmart,42.155217,-88.339729,"1410 S Randall Rd",Algonquin,IL,60102,walmart-icon.png
96125,1531,"Carpentersville Supercenter",walmart,42.119505,-88.261654,"365 Lake Marian Road",Carpentersville,IL,60110,walmart-icon.png
96127,852,"Ottawa Supercenter",walmart,41.3781973,-88.8443488,"4041 Veterans Dr",Ottawa,IL,61350,walmart-icon.png
96128,1955,"Rockford Supercenter",walmart,42.31514,-89.031952,"3849 Northridge Dr",Rockford,IL,61114,walmart-icon.png
96130,1413,"Crystal Lake Supercenter",walmart,42.209328,-88.282838,"1205 S Il Route 31","Crystal Lake",IL,60014,walmart-icon.png
96132,3434,"Woodstock Supercenter",walmart,42.297594,-88.422922,"1275 Lake Ave",Woodstock,IL,60098,walmart-icon.png
96133,5398,"Rockford Supercenter",walmart,42.3130126,-89.1136743,"3902 W Riverside Blvd",Rockford,IL,61101,walmart-icon.png
96134,5399,"Dixon Supercenter",walmart,41.827442,-89.471721,"1640 S Galena Ave",Dixon,IL,61021,walmart-icon.png
96139,796,"Peru Supercenter",walmart,41.373026,-89.122745,"5307 Rt. 251",Peru,IL,61354,walmart-icon.png
96140,1211,"Harvard Supercenter",walmart,42.406207,-88.611202,"21101 Mcguire Rd",Harvard,IL,60033,walmart-icon.png
96146,1404,"Lake Zurich Supercenter",walmart,42.186054,-88.087621,"820 S Rand Rd","Lake Zurich",IL,60047,walmart-icon.png
96149,3837,"Roscoe Supercenter",walmart,42.453894,-89.024093,"4781 E Rockton Rd",Roscoe,IL,61073,walmart-icon.png
96151,5276,"Palatine Store",walmart,42.137766,-88.017854,"1555 N Rand Rd",Palatine,IL,60074,walmart-icon.png
96152,1377,"Johnsburg Supercenter",walmart,42.368908,-88.271336,"3801 Running Brook Farms Blvd",Johnsburg,IL,60050,walmart-icon.png
96155,891,"Sterling Supercenter",walmart,41.815539,-89.644849,"4115 E Lincolnway",Sterling,IL,61081,walmart-icon.png
96156,1681,"Mount Prospect Supercenter",walmart,42.069294,-87.923386,"930 Mount Prospect Plz","Mount Prospect",IL,60056,walmart-icon.png
96157,1735,"Wheeling Supercenter",walmart,42.1525,-87.95279,"1455 E Lake Cook Rd",Wheeling,IL,60090,walmart-icon.png
96158,2532,"Beloit Supercenter",walmart,42.526467,-88.986166,"2785 Milwaukee Rd",Beloit,WI,53511,walmart-icon.png
96160,830,"Rock Falls Store",walmart,41.763311,-89.687013,"1901 1st Ave","Rock Falls",IL,61071,walmart-icon.png
